ma_service,title,layout,meta_title,bigimg,image,tags,categories,transport,location,duration,discount,price
SV_FLIGHT_DOM01,"Đặt vé máy bay nội địa giá rẻ",post,"Đặt vé máy bay nội địa giá rẻ","/img/flights/dat-ve-may-bay-noi-dia-gia-re.webp","/img/flights/dat-ve-may-bay-noi-dia-gia-re.webp","vé máy bay nội địa, bay giá rẻ, vé máy bay, flights vietnam","[flights#domestic]","","Toàn quốc","","",""
SV_FLIGHT_DOM02,"Vé máy bay khứ hồi nội địa",post,"Vé máy bay khứ hồi nội địa","/img/flights/ve-may-bay-khu-hoi-noi-dia.jpg","/img/flights/ve-may-bay-khu-hoi-noi-dia.jpg","vé máy bay khứ hồi, vé nội địa, flights vietnam","[flights#domestic]","","Toàn quốc","","",""
SV_FLIGHT_DOM03,"Vé máy bay đoàn nội địa",post,"Vé máy bay đoàn nội địa","/img/flights/ve-may-bay-doan-noi-dia.jpg","/img/flights/ve-may-bay-doan-noi-dia.jpg","vé máy bay đoàn, vé nội địa, flights vietnam","[flights#domestic]","","Toàn quốc","","",""
SV_FLIGHT_INT01,"Đặt vé máy bay quốc tế giá tốt",post,"Đặt vé máy bay quốc tế giá tốt","/img/flights/dat-ve-may-bay-quoc-te-gia-tot.jpg","/img/flights/dat-ve-may-bay-quoc-te-gia-tot.jpg","vé máy bay quốc tế, flights international, vé máy bay nước ngoài","[flights#international]","","Toàn thế giới","","",""
SV_FLIGHT_INT02,"Vé máy bay khứ hồi quốc tế",post,"Vé máy bay khứ hồi quốc tế","/img/flights/ve-may-bay-khu-hoi-quoc-te.jpg","/img/flights/ve-may-bay-khu-hoi-quoc-te.jpg","vé máy bay khứ hồi, vé quốc tế, flights international","[flights#international]","","Toàn thế giới","","",""
SV_FLIGHT_INT03,"Vé máy bay đoàn quốc tế",post,"Vé máy bay đoàn quốc tế","/img/flights/ve-may-bay-doan-quoc-te.webp","/img/flights/ve-may-bay-doan-quoc-te.webp","vé máy bay đoàn, vé quốc tế, flights international","[flights#international]","","Toàn thế giới","","",""
SV_FLIGHT_BOOK01,"Đặt chỗ trước & giữ vé",post,"Đặt chỗ trước & giữ vé máy bay","/img/flights/dat-cho-truoc-giu-ve.webp","/img/flights/dat-cho-truoc-giu-ve.webp","đặt chỗ máy bay, giữ vé, flights booking","[flights#booking]","","Toàn thế giới","","",""
SV_FLIGHT_BOOK02,"Đăng ký hành lý ký gửi",post,"Đăng ký hành lý ký gửi","/img/flights/dang-ky-hanh-ly-ky-gui.webp","/img/flights/dang-ky-hanh-ly-ky-gui.webp","hành lý ký gửi, mua thêm hành lý, flights booking","[flights#booking]","","Toàn thế giới","","",""
SV_FLIGHT_BOOK03,"Chọn chỗ ngồi ưu tiên",post,"Chọn chỗ ngồi ưu tiên","/img/flights/chon-cho-ngoi-uu-tien.jpeg","/img/flights/chon-cho-ngoi-uu-tien.jpeg","chọn chỗ ngồi, chỗ ngồi ưu tiên, flights booking","[flights#booking]","","Toàn thế giới","","",""
